,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
26,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[26],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
27,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[27],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
28,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[28],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
29,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[29],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
2,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[2],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
30,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[30],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
31,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[31],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
32,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[32],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
33,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[33],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
34,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[34],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
35,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[35],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
36,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[36],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
37,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[37],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
38,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[38],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
